section,question_number,question_text,question_instructions
1.10,C83,Ces informations et documents sont-ils rapidement mis à la disposition des autorités compétentes sur demande ?,"Lorsqu'elle fournit sa réponse, l'entité déclarante devrait tenir compte des facteurs suivants : (1) Les données ci-dessus sont-elles recueillies sous forme électronique et sont facilement récupérables à partir des systèmes informatiques ? (2) Le système informatique a-t-il la fonctionnalité de filtrer et de trier les informations afin qu'ils puissent être récupérés rapidement ? (3) Y a-t-il un effort manuel requis pour trouver les données des clients, par exemple, si les fichiers sont stockés uniquement en version papier, ou, lorsqu'ils sont stockés sous forme électronique, les systèmes informatiques ne sont pas configurés pour permettre un accès facile aux données requises."
1.10,C84,Votre entité dispose-t-elle de sauvegardes des informations relatives aux CDD et aux correspondances commerciales avec un plan de récupération des données ?,
1.11,C85,Les politiques et procédures de l'entité couvrent-elles de manière adéquate le filtrage et les alertes des sanctions financières ciblées pour le financement du terrorisme et de la prolifération ?,"L'entité déclarante devrait indiquer si ses politiques et procédures couvrent de manière adéquate les éléments de filtrage et d'alerte des sanctions financières ciblées. Les politiques et procédures doivent couvrir les exigences ciblées liées aux sanctions financières concernant au moins les éléments suivants : (a) clients, bénéficiaires effectifs, parties à une opération, tiers concernés (intermédiaires, agents) ou autres personnes liées ; (b) fréquence et portée du filtrage ; (c) traitement des alertes, des faux positifs (y compris comment les alertes doivent être résolues lorsque les informations sont indisponibles, incomplètes ou potentiellement non fiables)."
1.11,C86,Votre entité consulte-t-elle la Liste Nationale des gel d'Avoirs lors de l'intégration de nouveaux clients ou lors de la mise à jour de la liste ?,
1.11,C87,Votre entité a-t-elle identifié une personne/des opérations liées au financement du terrorisme ou à la prolifération des armes de destruction massive au cours de la période de référence ?,
1.11,C88,Prière d'indiquer le nombre total de déclarations faites à la Direction du Budget et du Trésor (DBT) concernant le financement du terrorisme.,
1.11,C89,Prière d'indiquer le nombre total de déclarations faites à la DBT concernant le financement de la prolifération des armes de destruction massive.,
1.12,C90,Votre entité prend-elle des mesures pour déterminer si les clients et les bénéficiaires effectifs sont des personnes politiquement exposées (PPE) ?,
1.12,C91,Quelles mesures votre entité applique-t-elle pour déterminer si les clients et les bénéficiaires effectifs sont des PPE ?,
1.12,C92,Quelles procédures supplémentaires de LBC/FT sont appliquées pour les PPE (par rapport à un client à risque standard) ?,"L'entité déclarante devrait fournir une liste des mesures supplémentaires spécifiques et renforcées qui sont prises pour les PPE par rapport aux clients à risque standard. Par exemple : (a) avant d'établir une relation d'affaires, (b) au cours d'une relation d'affaires. Si les mesures susmentionnées diffèrent pour les PPE locales et étrangères, prière d'indiquer quelle mesure s'applique à une PPE locale et laquelle s'applique à une PPE étrangère."
1.12,C93,Un filtrage des PPE est-il effectué dans le cadre du processus de CDD pour les nouveaux clients ?,
1.12,C94,Le filtrage des PPE a-t-il lieu de façon continue ?,
1.12,C95,Les PPE font-elles l'objet d'une surveillance accrue ?,
1.12,C96,Votre entité considère-t-elle toutes les relations PPE comme à haut risque de LBC/FT ?,
1.13,C97,Votre entité effectue-t-elle des opérations en espèces avec des clients ?,Qu'il s'agisse de paiements entrants ou sortants.
1.13,C98,Votre entité applique-t-elle des contrôles et des procédures spécifiques de LBC/FT pour les opérations en espèces ?,
1.13,C99,Prière de décrire les contrôles et procédures spécifiques aux opérations en espèces que votre entité applique.,
1.14,C100,Votre entité a-t-elle déposé des DOS/DAS auprès de la CRF au cours de la période de déclaration ?,(Pas nécessairement déposées à la CRF)
1.14,C101,Prière d'indiquer le nombre total de DOS/DAS liées au financement du terrorisme que votre entité a déclaré à la CRF au cours de la période de déclaration.,"L'entité déclarante devrait indiquer le nombre d'opérations suspectes, liées au financement du terrorisme, qu'elle a déclaré à la CRF de Monaco (https://amsf.mc)."
1.14,C102,Prière d'indiquer le nombre total de DOS/DAS liées au blanchiment de capitaux que votre entité a déclaré à la CRF au cours de la période de déclaration.,"L'entité déclarante devrait indiquer le nombre d'opérations suspectes, liées au blanchiment de capitaux, qu'elle a déclaré à la CRF de Monaco (https://amsf.mc)."
1.14,C103,"Votre entité a-t-elle pris des mesures pour renforcer les contrôles internes en matière de LBC/FT, amender les politiques et procédures ou entreprendre d'autres procédures pour améliorer la déclaration des opérations suspectes au cours de la période de déclaration ?",
1.15,C104,Avez-vous des commentaires sur l'une des questions de cette section ?,
1.15,C105,Prière de partager vos retours et vos commentaires au sujet de cette section.,
Attestation,S1,"La ou les personnes dont le nom et le titre sont ajoutés ici attestent qu'elles ont fourni des réponses exactes aux questions, au mieux de leurs capacités.",
Attestation,S2,"Le nom et le titre de la personne ajoutée ici attestent qu'elle est dûment autorisée à représenter l'entité déclarante et qu'elle s'est assurée que les données soumises ont été correctement examinées et constituent une représentation exacte, au mieux de ses capacités.",
Attestation,S3,Avez-vous besoin de rendre ce questionnaire sous forme incomplète ?,"Si ce n'est pas le cas, prière d'écrire « Complet ». Si c'est le cas, prière d'indiquer la raison de la soumission d'un questionnaire incomplet. Une soumission incomplète peut entraîner une attention supplémentaire ou d'autres actions."
